year_month,count
01-01-05,594924
01-02-05,545332
01-03-05,617540
01-04-05,594492
01-05-05,614802
01-06-05,609195
01-07-05,627961
01-08-05,630904
01-09-05,574253
01-10-05,592712
01-11-05,566138
01-12-05,572343
01-01-06,581287
01-02-06,531247
01-03-06,605217
01-04-06,585351
01-05-06,602919
01-06-06,598315
01-07-06,621244
01-08-06,628732
01-09-06,584937
01-10-06,611718
01-11-06,586197
01-12-06,604758
01-01-07,621559
01-02-07,565604
01-03-07,639209
01-04-07,614648
01-05-07,631609
01-06-07,629280
01-07-07,648560
01-08-07,653279
01-09-07,600187
01-10-07,629992
01-11-07,605149
01-12-07,614139
