month,trend,seasonal
1949-01,0,0.910230367
1949-02,0,0.883625321
1949-03,0,1.007366288
1949-04,0,0.975906012
1949-05,0,0.981378027
1949-06,0,1.112775827
1949-07,126.7916667,1.226555543
1949-08,127.25,1.219910969
1949-09,127.9583333,1.060491933
1949-10,128.5833333,0.92175724
1949-11,129,0.801178082
1949-12,129.75,0.89882439
1950-01,131.25,0.910230367
1950-02,133.0833333,0.883625321
1950-03,134.9166667,1.007366288
1950-04,136.4166667,0.975906012
1950-05,137.4166667,0.981378027
1950-06,138.75,1.112775827
1950-07,140.9166667,1.226555543
1950-08,143.1666667,1.219910969
1950-09,145.7083333,1.060491933
1950-10,148.4166667,0.92175724
1950-11,151.5416667,0.801178082
1950-12,154.7083333,0.89882439
1951-01,157.125,0.910230367
1951-02,159.5416667,0.883625321
1951-03,161.8333333,1.007366288
1951-04,164.125,0.975906012
1951-05,166.6666667,0.981378027
1951-06,169.0833333,1.112775827
1951-07,171.25,1.226555543
1951-08,173.5833333,1.219910969
1951-09,175.4583333,1.060491933
1951-10,176.8333333,0.92175724
1951-11,178.0416667,0.801178082
1951-12,180.1666667,0.89882439
1952-01,183.125,0.910230367
1952-02,186.2083333,0.883625321
1952-03,189.0416667,1.007366288
1952-04,191.2916667,0.975906012
1952-05,193.5833333,0.981378027
1952-06,195.8333333,1.112775827
1952-07,198.0416667,1.226555543
1952-08,199.75,1.219910969
1952-09,202.2083333,1.060491933
1952-10,206.25,0.92175724
1952-11,210.4166667,0.801178082
1952-12,213.375,0.89882439
1953-01,215.8333333,0.910230367
1953-02,218.5,0.883625321
1953-03,220.9166667,1.007366288
1953-04,222.9166667,0.975906012
1953-05,224.0833333,0.981378027
1953-06,224.7083333,1.112775827
1953-07,225.3333333,1.226555543
1953-08,225.3333333,1.219910969
1953-09,224.9583333,1.060491933
1953-10,224.5833333,0.92175724
1953-11,224.4583333,0.801178082
1953-12,225.5416667,0.89882439
1954-01,228,0.910230367
1954-02,230.4583333,0.883625321
1954-03,232.25,1.007366288
1954-04,233.9166667,0.975906012
1954-05,235.625,0.981378027
1954-06,237.75,1.112775827
1954-07,240.5,1.226555543
1954-08,243.9583333,1.219910969
1954-09,247.1666667,1.060491933
1954-10,250.25,0.92175724
1954-11,253.5,0.801178082
1954-12,257.125,0.89882439
1955-01,261.8333333,0.910230367
1955-02,266.6666667,0.883625321
1955-03,271.125,1.007366288
1955-04,275.2083333,0.975906012
1955-05,278.5,0.981378027
1955-06,281.9583333,1.112775827
1955-07,285.75,1.226555543
1955-08,289.3333333,1.219910969
1955-09,293.25,1.060491933
1955-10,297.1666667,0.92175724
1955-11,301,0.801178082
1955-12,305.4583333,0.89882439
1956-01,309.9583333,0.910230367
1956-02,314.4166667,0.883625321
1956-03,318.625,1.007366288
1956-04,321.75,0.975906012
1956-05,324.5,0.981378027
1956-06,327.0833333,1.112775827
1956-07,329.5416667,1.226555543
1956-08,331.8333333,1.219910969
1956-09,334.4583333,1.060491933
1956-10,337.5416667,0.92175724
1956-11,340.5416667,0.801178082
1956-12,344.0833333,0.89882439
1957-01,348.25,0.910230367
1957-02,353,0.883625321
1957-03,357.625,1.007366288
1957-04,361.375,0.975906012
1957-05,364.5,0.981378027
1957-06,367.1666667,1.112775827
1957-07,369.4583333,1.226555543
1957-08,371.2083333,1.219910969
1957-09,372.1666667,1.060491933
1957-10,372.4166667,0.92175724
1957-11,372.75,0.801178082
1957-12,373.625,0.89882439
1958-01,375.25,0.910230367
1958-02,377.9166667,0.883625321
1958-03,379.5,1.007366288
1958-04,380,0.975906012
1958-05,380.7083333,0.981378027
1958-06,380.9583333,1.112775827
1958-07,381.8333333,1.226555543
1958-08,383.6666667,1.219910969
1958-09,386.5,1.060491933
1958-10,390.3333333,0.92175724
1958-11,394.7083333,0.801178082
1958-12,398.625,0.89882439
1959-01,402.5416667,0.910230367
1959-02,407.1666667,0.883625321
1959-03,411.875,1.007366288
1959-04,416.3333333,0.975906012
1959-05,420.5,0.981378027
1959-06,425.5,1.112775827
1959-07,430.7083333,1.226555543
1959-08,435.125,1.219910969
1959-09,437.7083333,1.060491933
1959-10,440.9583333,0.92175724
1959-11,445.8333333,0.801178082
1959-12,450.625,0.89882439
1960-01,456.3333333,0.910230367
1960-02,461.375,0.883625321
1960-03,465.2083333,1.007366288
1960-04,469.3333333,0.975906012
1960-05,472.75,0.981378027
1960-06,475.0416667,1.112775827
1960-07,0,1.226555543
1960-08,0,1.219910969
1960-09,0,1.060491933
1960-10,0,0.92175724
1960-11,0,0.801178082
1960-12,0,0.89882439
